specimen,BUV395-A,BUV496-A,BUV563-A,BUV615-A,BUV661-A,BUV737-A,BUV805-A,BV421-A,Pacific Blue-A,BV480-A,BV510-A,BV605-A,BV650-A,BV711-A,BV750-A,BV786-A,Alexa Fluor 488-A,Spark Blue 550-A,PerCP-Cy5.5-A,PE-A,PE-Cy5-A,PE-Dazzle594-A,PE-Vio770-A,APC-A,Alexa Fluor 647-A,APC-R700-A,Zombie NIR-A,APC-Fire 750-A,APC-Fire 810-A
INF071,90,105,155,100,100,105,95,100,105,80,120,90,135,120,150,130,90,95,105,110,125,95,120,115,150,142,106,100,102
INF149,90,100,170,105,95,100,100,95,95,80,110,90,140,115,150,120,90,95,100,105,110,94,115,115,130,146,104,100,100
INF179,95,110,165,105,95,115,100,100,95,80,110,95,145,115,150,135,95,100,105,105,115,95,120,110,130,142,104,100,102
